date,station_number,month,mean_temp,mean_dew_point,mean_sealevel_pressure,mean_visibility,mean_wind_speed,max_sustained_wind_speed,max_temperature,total_precipitation,snow,max_temperature_explicit_enc,day_of_year,day_of_week
2007-08-02,725316,8,79.0999984741211,64.80000305175781,1015.7000122070312,8.899999618530273,1.0,5.099999904632568,66.0,0.0,0,0.0,214,3
2007-08-02,725326,8,77.9000015258789,68.30000305175781,,6.699999809265137,4.199999809265137,11.100000381469728,64.4000015258789,0.0,0,1.0,214,3
2007-08-02,725330,8,80.0,64.69999694824219,1015.9000244140624,8.699999809265137,2.400000095367432,9.899999618530272,64.0,0.0,0,0.0,214,3
2007-08-02,725327,8,78.0,66.5999984741211,1016.0,7.0,3.299999952316284,8.899999618530273,66.0,0.0,1,0.0,214,3
2007-08-02,725320,8,80.19999694824219,66.80000305175781,1015.4000244140624,8.0,2.299999952316284,6.0,69.0999984741211,0.0,0,0.0,214,3
2007-08-02,725305,8,78.80000305175781,68.5999984741211,1015.0999755859376,7.900000095367432,3.799999952316284,12.0,68.0,0.0,0,1.0,214,3
2007-08-02,725317,8,78.69999694824219,65.80000305175781,1015.4000244140624,7.800000190734863,1.2999999523162842,6.0,64.4000015258789,0.0,0,1.0,214,3
2007-08-02,725315,8,76.4000015258789,66.69999694824219,1015.9000244140624,7.599999904632568,1.600000023841858,5.099999904632568,64.0,0.0,1,0.0,214,3
2007-08-02,725300,8,81.30000305175781,64.19999694824219,1014.9000244140624,8.800000190734863,4.5,9.899999618530272,69.0999984741211,0.0,0,0.0,214,3
2007-08-03,725317,8,80.19999694824219,67.5999984741211,1015.9000244140624,6.0,1.7000000476837158,5.099999904632568,69.0999984741211,0.0,0,0.0,215,4
2007-08-03,725327,8,78.9000015258789,61.900001525878906,1016.2999877929688,8.800000190734863,3.5999999046325684,7.0,71.5999984741211,0.0,0,1.0,215,4
2007-08-03,725330,8,78.5999984741211,65.0,1015.5,6.5,5.099999904632568,12.0,66.9000015258789,0.0,0,0.0,215,4
2007-08-03,725305,8,79.30000305175781,63.0,1015.9000244140624,8.300000190734863,4.199999809265137,8.0,66.0,0.0,0,0.0,215,4
2007-08-03,725300,8,81.69999694824219,59.0,1015.5,9.600000381469728,5.199999809265137,8.899999618530273,70.0,0.0,0,0.0,215,4
2007-08-03,725314,8,80.5,70.19999694824219,1015.9000244140624,4.099999904632568,2.200000047683716,7.0,70.0,0.0,0,0.0,215,4
2007-08-03,725316,8,82.5,68.5,1016.0999755859376,7.599999904632568,2.0999999046325684,8.899999618530273,71.0999984741211,0.0,0,0.0,215,4
2007-08-03,725320,8,80.9000015258789,64.4000015258789,1016.2999877929688,8.100000381469727,2.0,6.0,73.0,0.0,0,1.0,215,4
2007-08-03,725326,8,77.30000305175781,62.900001525878906,,8.899999618530273,3.400000095367432,8.899999618530273,59.0,0.0,0,0.0,215,4
2007-08-03,725315,8,77.80000305175781,69.30000305175781,1016.2999877929688,5.0,3.200000047683716,6.0,68.0,0.0,0,0.0,215,4
2007-08-04,725317,8,78.5999984741211,70.9000015258789,1016.0999755859376,6.099999904632568,3.0,8.0,69.80000305175781,0.1000000014901161,0,1.0,216,5
2007-08-04,725320,8,75.9000015258789,62.59999847412109,1016.5,10.0,3.700000047683716,12.0,68.0,0.0,0,0.0,216,5
